;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
2534;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;91;3;0;7;9;17;0;0;0;1;0;0;21;3;0;0,0;11;0;2;0;0;2,0;65,84;10;71;18;49;13;13;38;7;1;3;1;4,4;0,0;4,4;0,0;0,0;0,0;2,2;2;5;0;0;0,7;4;0;1,0;3,9;1;2,2;1,75;180 days 00:00:00.000000000
2478;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;238;20;0;0;0;5;0;0;0;0;0;0;21;3;0;0,0;8;0;2;0;0;1,0;74,91;21;42;1;31;11;11;20;0;1;2;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;0;0;0;0,5;3;0;0,75;3,725;1;2,475;1,25;180 days 00:00:00.000000000
2555;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;294;11;0;0;0;7;0;0;0;2;0;0;21;3;0;5,0;10;0;2;0;0;1,0;76,03;20;32;14;25;12;2;18;0;1;3;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;5;3;0;0;0,8;4;0;1,0;3,725;1;1,925;2,0;180 days 00:00:00.000000000
2531;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;228;18;0;0;0;0;0;0;0;0;0;0;14;2;0;0,0;7;0;1;0;0;1,0;74,53;27;28;6;21;7;5;14;2;1;2;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;5;0;0;0;0,5;4;0;1,0;3,7;1;2,2;1,25;180 days 00:00:00.000000000
2590;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;231;17;0;4;4;8;0;0;0;2;0;0;21;3;0;6,0;32;0;1;0;0;3,0;78,78;74;100;22;56;23;27;48;2;1;4;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;2;3;0;0;0,5;4;0;1,0;3,7;1;2,2;1,25;180 days 00:00:00.000000000
2475;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;293;38;0;28;60;47;0;0;0;0;3;0;22;3;0;0,0;34;0;1;0;0;13,0;89,59;238;363;6;123;65;121;135;42;1;1;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;0;0;0;0;0,0;6;0;1,5;3,7;1;2,2;0,0;180 days 00:00:00.000000000
2462;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;277;8;0;3;3;17;0;0;0;0;0;0;16;2;0;2,0;15;0;1;0;0;2,0;64,86;10;75;12;55;14;52;9;0;1;2;0;0,0;2,75;2,75;0,0;0,0;0,0;1,375;5;5;0;0;1,0;5;0;1,25;3,625;1;1,375;2,5;180 days 00:00:00.000000000
2582;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;358;48;0;10;30;46;0;0;0;1;3;0;17;2;0;8,0;10;0;3;0;0;3,0;63,63;2;94;8;67;26;12;54;2;1;2;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;4;5;0;0;0,9;5;0;1,25;3,525;1;1,375;2,25;180 days 00:00:00.000000000
5843;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1265;13;2;3;92;95;0;0;0;0;4;0;8;1;0;26,5;28;0;0;0;0;6,0;57,23;15;169;32;71;68;79;21;1;2;2;0;1,65;0,0;1,65;0,0;0,0;0,0;0,825;5;5;0;0;1,0;6;0;1,5;3,325;1;0,825;2,5;181 days 23:59:59.000000000
2542;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;223;15;0;1;1;9;0;0;0;1;0;0;22;3;0;8,0;20;0;2;0;0;1,0;64,03;31;50;4;37;3;7;40;0;1;2;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;3;0;0;0;0,3;3;0;0,75;3,25;1;2,2;0,75;180 days 00:00:00.000000000
2519;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;206;5;0;3;3;18;0;0;0;0;0;0;0;0;0;0,0;10;0;0;0;0;0,0;67,87;0;12;6;11;3;2;7;0;0;2;0;2,2;0,0;2,2;0,0;0,0;0,0;1,1;2;2;0;0;0,4;0;0;0,0;1,5;1;1,1;1,0;180 days 00:00:00.000000000
