;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
3419;Pedagogia;2012.1;4;Planejamento Educacional;52;2011-12-31 21:00:00;2012-06-30 20:59:59;112;11;0;0;2;29;0;0;0;0;0;0;22;3;1;7,0;13;0;0;0;0;3,0;96,86;26;92;0;40;11;35;42;4;1;4;0;2,75;0,0;2,75;2,75;0,0;2,75;1,51;5;4;5;5;0,95;3;5;1,0;3,46;1;2,75;4,75;181 days 23:59:59.000000000
8051;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;244;3;2;0;22;25;0;0;0;4;1;0;11;1;0;8,0;21;0;1;0;1;4,0;81,06;24;125;22;82;18;27;80;0;1;4;1;3,85;0,0;3,85;0,0;0,0;0,0;1,925;5;5;5;0;1,5;0;0;0,0;3,425;1;1,925;3,75;180 days 23:59:59.000000000
7993;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;319;19;1;0;2;7;0;0;0;2;0;0;13;2;0;27,0;32;0;2;0;1;3,0;73,3;83;98;27;58;8;51;38;1;1;4;0;2,2;0,0;2,2;0,0;0,0;0,0;1,1;5;5;0;0;1,0;5;0;1,25;3,35;1;1,1;2,5;180 days 23:59:59.000000000
8019;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;139;3;0;0;1;8;0;0;0;1;0;0;16;2;0;1,0;6;0;1;0;1;0,0;81,11;17;21;5;15;4;3;13;1;1;2;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;0;0;0;0,5;0;0;0,0;2,975;1;2,475;1,25;180 days 23:59:59.000000000
8180;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;21;16;0;0;0;0;0;0;0;0;0;0;0;4;0;0,0;3;0;1;0;1;1,0;92,12;14;34;3;12;8;7;14;5;1;1;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;0;5;0;0;0,5;0;0;0,0;2,975;1;2,475;1,25;180 days 23:59:59.000000000
8312;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;577;50;4;1;15;16;0;0;0;3;1;0;10;1;0;12,0;83;0;1;0;1;7,0;89,17;22;203;30;81;54;60;86;3;1;4;1;0,55;0,0;0,55;0,0;0,0;0,0;0,275;4;5;5;0;1,4;5;0;1,25;2,925;1;0,275;3,5;180 days 23:59:59.000000000
8179;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;438;3;0;0;0;5;0;0;0;0;0;0;20;3;0;0,0;9;0;1;0;1;0,0;78,84;18;21;8;12;10;4;7;0;1;2;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;5;5;0;0;1,0;0;0;0,0;2,925;1;1,925;2,5;180 days 23:59:59.000000000
8245;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;274;70;0;0;1;5;0;0;0;3;1;0;23;3;0;3,0;26;0;1;0;1;3,0;77,67;3;90;4;64;3;27;60;0;1;3;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;5;5;5;0;1,5;0;0;0,0;2,875;1;1,375;3,75;180 days 23:59:59.000000000
8212;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;47;17;0;0;1;12;0;0;0;1;0;0;12;2;0;0,0;15;0;2;0;1;2,0;91,01;28;60;12;39;6;20;34;0;1;3;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;5;5;5;0;1,5;0;0;0,0;2,875;1;1,375;3,75;180 days 23:59:59.000000000
8007;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;383;48;0;0;1;7;0;0;0;0;0;0;21;3;0;0,0;14;0;1;0;1;1,0;75,67;1;49;2;39;17;14;17;1;1;2;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;5;4;0;0;0,9;0;0;0,0;2,825;1;1,925;2,25;180 days 23:59:59.000000000
