;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
29792;Biologia;2016.1;8;Fisiologia Comparada;42;2015-12-31 21:00:00;2016-06-30 20:59:59;1272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
30209;Biologia;2016.1;8;Fisiologia Comparada;42;2015-12-31 21:00:00;2016-06-30 20:59:59;259;3;0;0;0;27;0;0;0;0;0;0;19;3;0;1,5;3;1;0;0;0;0;2,0;99,86;23;1,5;1,5;62;6;39;7;27;28;0;2;1;0;3,85;0,0;3,85;4,4;0,0;4,4;4,125;0;0;5;0;0,5;5;6;2,75;7,375;0;4,125;1,25;181 days 23:59:59.000000000
840;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;351;21;0;0;5;26;0;0;0;0;0;0;15;2;0;7,0;11;4;0;0;0;0;1,0;85,33;5;7,0;7,0;32;7;25;1;21;10;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;3;3;3;4;1,3;2;2;1,0;7,8;0;5,5;3,25;181 days 23:59:59.000000000
958;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;352;10;0;1;1;26;0;0;0;1;0;0;9;1;0;43,5;17;4;0;0;0;0;2,0;80,12;34;43,5;43,5;53;24;35;20;19;14;0;2;4;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;4;2;3;4;1,3;5;6;2,75;9,275;0;5,225;3,25;181 days 23:59:59.000000000
1053;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;207;9;0;0;22;35;0;0;1;1;1;0;19;3;0;17,0;12;3;0;0;1;0;3,0;94,71;18;17,0;17,0;100;15;44;2;47;51;0;2;3;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;2;3;4;0,9;2;6;2,0;8,4;0;5,5;2,25;181 days 23:59:59.000000000
1071;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;270;5;0;0;7;33;0;0;0;2;0;0;16;2;0;13,5;23;5;0;0;0;0;3,0;77,44;52;13,5;13,5;83;32;45;9;54;20;0;2;5;0;2,2;0,0;2,2;3,85;0,0;3,85;3,025;2;3;4;4;1,3;2;6;2,0;6,325;0;3,0250000000000004;3,25;181 days 23:59:59.000000000
1604;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;355;7;0;4;22;38;0;0;0;1;0;0;16;2;0;8,5;13;2;0;0;0;0;4,0;89,26;30;8,5;8,5;106;17;49;27;34;42;3;2;2;0;5,5;0,0;5,5;4,4;0,0;4,4;4,95;0;2;0;4;0,6;0;2;0,5;6,05;0;4,95;1,5;181 days 23:59:59.000000000
1728;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;283;5;0;4;44;94;0;0;0;0;2;0;16;2;0;22,0;23;5;0;0;0;0;4,0;82,96;39;22,0;22,0;128;34;71;12;66;43;7;2;5;0;1,65;0,0;1,65;3,85;0,0;3,85;2,75;4;4;3;4;1,5;2;4;1,5;5,75;0;2,75;3,75;181 days 23:59:59.000000000
1783;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;319;15;0;0;9;31;0;0;0;1;0;0;9;1;0;11,5;11;4;0;0;0;0;3,0;83,83;16;11,5;11,5;78;16;50;3;25;48;2;2;4;0;4,95;0,0;4,95;4,95;0,0;4,95;4,95;3;2;3;4;1,2;2;2;1,0;7,15;0;4,95;3,0;181 days 23:59:59.000000000
2158;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;274;3;0;0;0;61;0;0;0;0;0;0;16;2;1;0,0;0;0;0;0;0;0;0,0;0,0;3;0,0;0,0;5;2;3;2;2;1;0;0;0;0;3,3;0,0;3,3;0,0;0,0;0,0;1,65;0;0;0;0;0,0;0;0;0,0;1,65;1;1,65;0,0;181 days 23:59:59.000000000
2220;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;312;26;0;4;18;41;0;0;0;0;0;0;5;1;0;48,5;34;4;0;0;2;0;8,0;75,74;168;48,5;48,5;232;50;94;49;67;103;13;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;3;3;3;4;1,3;5;6;2,75;9,55;0;5,5;3,25;181 days 23:59:59.000000000
3260;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;330;34;0;0;1;26;0;0;0;0;0;0;0;2;0;13,5;12;4;0;0;0;0;2,0;84,77;44;13,5;13,5;69;22;40;10;19;32;8;2;4;0;4,95;0,0;4,95;4,4;0,0;4,4;4,675;3;3;4;4;1,4;0;3;0,75;6,825;0;4,675000000000001;3,5;181 days 23:59:59.000000000
3538;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;242;9;0;0;1;27;0;0;0;0;0;0;11;1;0;1,5;7;2;0;0;0;0;1,0;99,3;6;1,5;1,5;31;11;18;9;15;7;0;2;2;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;3;0;4;0,7;0;2;0,5;6,7;0;5,5;1,75;181 days 23:59:59.000000000
3626;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;313;27;0;0;5;73;0;0;0;0;0;0;16;2;0;11,5;13;4;0;0;0;0;3,0;82,11;42;11,5;11,5;80;24;52;22;31;26;1;2;4;0;3,85;0,0;3,85;3,85;0,0;3,85;3,85;3;3;3;4;1,3;5;6;2,75;7,9;0;3,85;3,25;181 days 23:59:59.000000000
3766;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;314;11;0;0;0;27;0;0;0;0;0;0;18;3;0;1,5;0;0;0;0;0;0;1,0;0,0;10;1,5;1,5;31;9;19;7;14;9;1;2;0;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;0;0;0;0;0,0;4;3;1,75;6,975;0;5,225;0,0;181 days 23:59:59.000000000
3882;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;326;64;0;15;86;88;0;0;0;0;4;0;12;2;0;49,0;29;4;0;0;0;0;6,0;81,2;46;49,0;49,0;171;53;85;46;60;57;8;2;4;0;0,55;1,65;0,55;0,0;0,0;0,0;0,275;3;3;4;4;1,4;6;2;2,0;3,675;1;0,275;3,5;181 days 23:59:59.000000000
3901;Biologia;2016.1;8;Microbiologia;43;2015-12-31 21:00:00;2016-06-30 20:59:59;286;25;0;0;1;29;0;0;0;0;0;0;21;3;0;48,0;0;0;0;0;0;0;4,0;0,0;34;48,0;48,0;128;22;69;14;39;75;0;2;0;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;4;3;1,75;7,25;0;5,5;0,0;181 days 23:59:59.000000000
