;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
16388;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;823;7;0;0;3;5;0;0;0;0;1;0;18;3;0;21,5;22;3;0;0;0;2;4,0;76,71;50;21,5;21,5;105;37;56;20;37;43;5;2;3;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;5;5;3;0;1,3;5;6;2,75;5,425;0;1,375;3,25;181 days 23:59:59.000000000
16476;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;931;8;0;1;1;2;0;0;0;0;0;0;13;2;0;1,5;10;3;0;0;0;2;1,0;71,0;9;1,5;1,5;49;13;30;12;12;25;0;2;3;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;5;5;5;0;1,5;5;4;2,25;5,95;0;2,2;3,75;181 days 23:59:59.000000000
16618;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;802;7;0;0;0;2;0;0;0;0;0;0;10;1;0;1,0;27;2;0;0;0;2;2,0;101,84;44;1,0;1,0;71;14;25;7;23;40;1;2;2;0;0,0;0,0;0,0;0,0;4,4;4,4;2,2;0;5;5;0;1,0;4;4;2,0;5,2;0;2,2;2,5;181 days 23:59:59.000000000
16658;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;917;16;0;0;1;4;0;0;0;0;1;0;21;3;0;1,0;9;3;0;0;0;2;1,0;81,05;18;1,0;1,0;46;15;26;5;15;23;3;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;4;5;0;1,4;6;6;3,0;7,15;0;2,75;3,5;181 days 23:59:59.000000000
16703;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1014;41;0;0;18;21;0;0;0;0;1;0;18;3;0;42,5;12;3;0;0;0;2;5,0;72,65;127;42,5;42,5;140;28;83;43;34;63;0;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;5;6;2,75;7,0;0;2,75;3,75;181 days 23:59:59.000000000
16757;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1038;4;0;0;0;0;0;0;0;0;0;0;13;2;0;1,0;5;2;0;0;0;1;1,0;60,3;16;1,0;1,0;28;8;21;13;8;6;1;1;2;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;0;0;1,0;5;0;1,25;5,0;0;2,75;2,5;181 days 23:59:59.000000000
16799;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;878;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0,0;8;2;0;0;0;0;1,0;82,63;4;0,0;0,0;46;5;27;20;14;10;2;0;2;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;0;5;5;0;1,0;0;0;0,0;3,475;1;2,475;2,5;181 days 23:59:59.000000000
16894;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1477;3;0;0;0;42;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;8;0,0;0,0;15;0;7;12;2;1;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
16972;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;940;13;0;0;0;2;0;0;0;0;0;0;23;3;0;1,0;7;3;0;0;0;2;1,0;71,7;7;1,0;1,0;42;17;20;8;9;25;0;2;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;5;4;2,25;6,225;0;2,475;3,75;181 days 23:59:59.000000000
17136;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1022;5;0;0;1;10;0;0;0;0;1;0;3;4;0;9,0;7;3;0;0;0;1;2,0;82,34;2;9,0;9,0;70;34;45;21;15;19;15;1;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;5;0;1,25;5,5;0;2,75;3,75;181 days 23:59:59.000000000
