;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
316;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;237;2;0;0;2;14;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;3;0,0;0,0;4;0;3;0;1;3;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 00:00:00.000000000
1045;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;152;5;0;0;39;262;0;0;0;0;2;0;0;0;0;0,0;6;0;0;0;0;0;10,0;0,0;207;0,0;0,0;278;0;146;53;101;123;1;0;0;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;0;0;0;0;0,0;0;0;0,0;2,2;1;2,2;0,0;180 days 00:00:00.000000000
1121;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;201;60;6;0;169;283;0;0;3;7;15;0;11;1;0;23,5;49;7;0;0;0;0;9,0;90,43;119;23,5;23,5;256;0;116;84;113;55;4;2;7;0;1,65;0,0;1,65;3,2;0,0;3,2;2,425;4;4;3;4;1,5;3;1;1,0;4,925;0;2,425;3,75;180 days 00:00:00.000000000
1144;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;128;4;0;0;1;17;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0,0;0,0;4;0,0;0,0;7;0;4;1;3;3;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 00:00:00.000000000
1239;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;208;21;0;0;6;179;0;0;0;1;2;0;0;0;0;0,0;3;1;0;0;0;0;1,0;58,12;32;0,0;0,0;37;0;25;1;8;28;0;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;0;0;0;0,4;0;0;0,0;0,4;1;0,0;1,0;180 days 00:00:00.000000000
2127;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;188;4;0;0;28;223;0;0;0;1;3;0;19;3;0;0,0;12;3;0;0;0;0;3,0;90,63;17;0,0;0,0;86;0;58;15;43;28;0;2;3;0;0,55;0,0;0,55;1,0;0,0;1,0;0,775;3;3;2;0;0,8;4;6;2,5;4,075;0;0,775;2,0;180 days 00:00:00.000000000
2204;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;193;2;0;0;16;201;0;0;0;3;2;0;11;1;0;0,5;32;5;0;0;0;0;3,0;102,46;74;0,5;0,5;90;0;55;71;13;4;2;2;5;0;1,65;0,0;1,65;3,7;0,0;3,7;2,675;3;3;4;2;1,2;6;4;2,5;6,375;0;2,675;3,0;180 days 00:00:00.000000000
2518;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;233;18;0;0;146;328;0;1;1;5;10;0;11;1;0;1,5;71;8;0;0;0;0;16,0;91,96;403;1,5;1,5;434;0;147;193;148;86;7;2;8;1;4,4;0,0;4,4;0,0;0,0;0,0;2,2;2;2;2;1;0,7;2;2;1,0;3,9;1;2,2;1,75;180 days 00:00:00.000000000
3479;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;199;109;0;0;161;343;0;0;0;3;24;0;16;2;0;10,5;180;4;0;0;0;0;12,0;102,2;268;10,5;10,5;328;0;111;87;77;145;19;2;4;0;2,75;0,0;2,75;3,0;0,0;3,0;2,875;3;4;2;3;1,2;3;1;1,0;5,075;0;2,875;3,0;180 days 00:00:00.000000000
4158;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;114;7;9;0;175;324;0;0;2;3;5;0;21;3;0;0,0;35;5;2;0;0;0;5,0;96,12;118;0,0;0,0;133;0;61;34;23;76;0;1;5;0;0,0;1,1;1,1;0,8;0,0;0,8;0,95;3;2;0;3;0,8;0;1;0,25;2,0;1;0,9500000000000001;2,0;180 days 00:00:00.000000000
